PRCP,TAVG,TMAX,TMIN,TOBS
0.010714285714285716,,72.55555555555556,45.55555555555556,48.5
0.07428571428571429,,76.66666666666667,48.55555555555556,49.5
0.0023076923076923075,,83.375,57.0,73.0
0.16692307692307695,,86.0,64.75,76.0
0.01,,83.33333333333333,62.666666666666664,62.5
0.013076923076923076,,84.125,67.75,55.5
0.023846153846153847,,80.25,69.25,58.5
0.1142857142857143,,77.44444444444444,58.0,52.5
0.24214285714285713,,84.55555555555556,53.44444444444444,57.5
0.09153846153846154,,78.875,56.125,65.0
0.18153846153846157,,78.625,54.75,65.0
0.07499999999999998,,77.88888888888889,54.111111111111114,58.5
0.06571428571428571,,72.88888888888889,51.111111111111114,54.5
0.03923076923076923,,75.5,57.0,75.0
0.0023076923076923075,,78.88888888888889,61.22222222222222,63.5
